観光地,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時
京都駅前バス乗り場,1.0,1.0,1.0,1.2,1.7,2.3,3.0,3.3,3.6,3.5,3.4,3.2,3.0,2.6,2.2,1.5,1.1,1.0
伏見稲荷大社付近,1.0,1.1,1.3,1.7,1.9,2.2,2.4,2.8,2.8,2.8,2.5,1.9,1.6,1.4,1.2,1.1,1.1,1.0
北野天満宮前付近,1.0,1.0,1.0,1.3,1.9,2.7,2.8,2.2,1.9,1.3,1.1,1.2,1.2,1.2,1.1,1.0,1.0,1.0
哲学の道北端,1.0,1.0,1.1,1.3,1.6,1.9,2.4,2.4,2.3,2.2,2.0,1.3,1.1,1.0,1.0,1.0,1.0,1.0
岡崎公園,1.0,1.0,1.1,1.5,2.0,2.4,2.7,2.7,2.7,2.4,1.9,1.6,1.4,1.2,1.2,1.0,1.0,1.0
清水坂,1.0,1.0,1.0,1.5,2.0,2.5,2.9,3.1,3.2,3.0,2.6,2.1,1.4,1.3,1.3,1.1,1.0,1.0
渡月橋北詰,1.0,1.0,1.2,1.4,1.7,2.5,3.2,3.0,2.8,2.1,1.9,1.7,1.4,1.2,1.1,1.0,1.0,1.0
竹林の小径,1.0,1.0,1.0,1.5,1.9,2.5,2.7,3.1,2.9,2.6,2.0,1.4,1.1,1.1,1.1,1.0,1.0,1.0
花見小路,1.0,1.0,1.0,1.2,1.5,1.9,2.2,2.4,2.5,2.5,2.7,2.7,2.7,2.6,2.3,1.9,1.3,1.2
金閣寺道付近,1.0,1.0,1.0,1.3,2.0,2.1,2.8,3.0,2.8,2.4,1.9,1.3,1.0,1.0,1.0,1.0,1.0,1.0
錦市場,1.0,1.0,1.0,1.0,1.4,2.3,2.8,3.0,3.1,3.0,2.5,2.2,1.9,1.7,1.4,1.2,1.1,1.0
